file,tranche,eng,tier,status,inSize,outSize,saved,ssimMin,ssimMean,dim,renderFail,opens,qpdfOk,secs,note,flagged
arxiv-2607.04728.pdf,arxiv,gs,q300,,3190948,953721,70.11,0.999,0.999,false,false,true,true,1.3,,
arxiv-2607.04728.pdf,arxiv,gs,q150,,3190948,569777,82.14,0.998,0.999,false,false,true,true,1.46,,
arxiv-2607.04728.pdf,arxiv,gs,q72,,3190948,520937,83.67,0.997,0.999,false,false,true,true,1.63,,
arxiv-2607.04728.pdf,arxiv,mutool,lossless,,3190948,3010156,5.67,1,1,false,false,true,true,0.13,,
arxiv-2607.04728.pdf,arxiv,mutool,q300,,3190948,1201271,62.35,0.966,0.996,false,false,true,true,0.52,,
arxiv-2607.04728.pdf,arxiv,mutool,q150,,3190948,883552,72.31,0.966,0.996,false,false,true,true,0.49,,
arxiv-2607.04728.pdf,arxiv,mutool,q72,,3190948,792255,75.17,0.966,0.996,false,false,true,true,0.6,,
arxiv-2607.04728.pdf,arxiv,qpdf,lossless,,3190948,3036139,4.85,1,1,false,false,true,true,1.02,,
arxiv-2607.04779.pdf,arxiv,hyper,lossless,,3488981,2779328,20.34,1,1,false,false,true,true,2.27,,
arxiv-2607.04779.pdf,arxiv,hyper,q300,,3488981,1480649,57.56,0.994,0.999,false,false,true,true,2.83,,
arxiv-2607.04779.pdf,arxiv,hyper,q150,,3488981,1294772,62.89,0.993,0.998,false,false,true,true,1.99,,
arxiv-2607.04779.pdf,arxiv,hyper,q72,,3488981,1258031,63.94,0.987,0.997,false,false,true,true,1.81,,
arxiv-2607.04779.pdf,arxiv,gs,lossless,,3488981,1450907,58.41,0.994,0.996,false,false,true,true,1.15,,
arxiv-2607.04779.pdf,arxiv,gs,q300,,3488981,337574,90.32,0.687,0.925,false,false,true,true,0.54,,true
arxiv-2607.04779.pdf,arxiv,gs,q150,,3488981,293477,91.59,0.687,0.925,false,false,true,true,0.83,,true
arxiv-2607.04779.pdf,arxiv,gs,q72,,3488981,280887,91.95,0.687,0.925,false,false,true,true,0.66,,true
arxiv-2607.04779.pdf,arxiv,mutool,lossless,,3488981,3387862,2.9,1,1,false,false,true,true,0.05,,
