file,tranche,bytes,pages,encrypted,signed,tagged,hasForms,sha256,origin_url,orig_name
arxiv-2606.26272.pdf,arxiv,7008157,16,false,false,false,false,4b32368b4d8608d567734096749d29ea4567d0e493b6919509ffae8ff885ad35,https://arxiv.org/abs/2606.26272v1,2606.26272v1
arxiv-2606.26279.pdf,arxiv,2081086,12,false,false,false,false,fe4441625977d6a3c5c86a4c3e07f5e7b98ffaaf614d9174fca9834d35ce8e50,https://arxiv.org/abs/2606.26279v1,2606.26279v1
arxiv-2606.26433.pdf,arxiv,9118633,21,false,false,false,false,93fc3529af38c3e2e88bb474201a5665c35f2fa0cb35de6798f29caa3db6a16f,https://arxiv.org/abs/2606.26433v1,2606.26433v1
arxiv-2606.26448.pdf,arxiv,9284748,44,false,false,false,false,7b1717d4c4707e5a1b0e68ad8112cceac90758cfc6bffeae65b967ce8a1fb9ed,https://arxiv.org/abs/2606.26448v1,2606.26448v1
arxiv-2606.26491.pdf,arxiv,11481587,13,false,false,false,false,99d492b77cbcaf506f1eec0c55387f45d0c5102b3a95e5a9e72aed996205fdf7,https://arxiv.org/abs/2606.26491v1,2606.26491v1
arxiv-2606.26646.pdf,arxiv,2622112,13,false,false,false,false,9c75e6c3afc9c8e323cf5369ee4279cc4671cff816a0214fc95051a49617023a,https://arxiv.org/abs/2606.26646v1,2606.26646v1
arxiv-2606.26655.pdf,arxiv,4774617,35,false,false,false,false,56e4257c567600902f6e6c5f5b3373eb5972d896bc69d6ec0a034789d7e1f293,https://arxiv.org/abs/2606.26655v1,2606.26655v1
arxiv-2606.26656.pdf,arxiv,2059258,49,false,false,false,false,a828698bb24c257a9e846c6998541698639dfeff91848fc633315fdf62d6b78d,https://arxiv.org/abs/2606.26656v1,2606.26656v1
arxiv-2606.26726.pdf,arxiv,14399889,6,false,false,false,false,7e89cec8c0376eb73221e075953cc3cd21783c7fc760998b888c055cdaaf62b1,https://arxiv.org/abs/2606.26726v1,2606.26726v1
arxiv-2606.26733.pdf,arxiv,2052108,28,false,false,false,false,e934bd251b2a371c86da477e6f5bfce7dad244dcebdd077c394e1f32d691213d,https://arxiv.org/abs/2606.26733v1,2606.26733v1
arxiv-2606.27012.pdf,arxiv,1391307,17,false,false,false,false,3990b83cf567817fdc6972f5bd54a827eb9068fd363448864cdffcc16311b1e0,https://arxiv.org/abs/2606.27012v1,2606.27012v1
arxiv-2606.27133.pdf,arxiv,8359892,19,false,false,false,false,789bacf420f3270c5999630609a72c2957a94b5d66955e0edaeb8e5ca769e7d2,https://arxiv.org/abs/2606.27133v1,2606.27133v1
arxiv-2606.27207.pdf,arxiv,25659895,23,false,false,false,false,3fe2158fb055e42c67bd3b864d2972e0a07138840dc138b87f8f0c23b18e8a91,https://arxiv.org/abs/2606.27207v1,2606.27207v1
arxiv-2606.27220.pdf,arxiv,11422186,100,false,false,true,false,972e26da93cf194d2ea5eb21b628ddace9d9ac55a3591e538d953edcd5958039,https://arxiv.org/abs/2606.27220v1,2606.27220v1
arxiv-2606.27296.pdf,arxiv,2576921,6,false,false,false,false,c86854b561ebde99b8b70920f3991af0bb395b4055b02b0d5194c7188e802393,https://arxiv.org/abs/2606.27296v1,2606.27296v1
arxiv-2606.27310.pdf,arxiv,3622820,32,false,false,false,false,e66b2b1c8ffb244ada51d1270914a586c3f4d39665d4f569917c2e6344109d29,https://arxiv.org/abs/2606.27310v1,2606.27310v1
